person_id,name,alternate_names,sex,race,age,date_of_death,active_duty,veteran,military_service_details,occupation,occupation_sectors,prisoner,incident_id,case_abstract,incident_date,incident_date_approx,incident_year_range_beg,incident_year_range_end,city,county,state,geonames_id_city,geonames_id_county,geonames_id_state,location_type,allegation_against_victim,perp_group_police,perp_group_posse,perp_group_mob,perp_group_hate,coroner_inquest,exoneration,grand_jury,charge,arrest,trial,conviction,sentence,case_id_fbi,case_id_doj,alleged_perpetrators
500,J. C. Evans,J. T. Evans,m,African American,30,10/4/37,,,,,,,19,"J. C. Evans, about 30, was killed in 1937 by a mob in Okaloosa County, Florida. Evans was charged with a “crime against nature” involving an attack on a 12-year-old boy. While being transported from Panama City to Milton, Florida for trial, he was kidnapped by five hooded men and shot. ",10/4/37,,1937,1937,Crestview,Okaloosa County,Florida,4152311,4166818,4155751,public space - rural,assaulting a white boy; robbery,,,,,TRUE,TRUE,,,,,,,,,
417,Harriette T. Moore,Harriet Moore,f,African American,,1/3/52,,,,teacher,professional,,20,"Harriette T. Moore, a school teacher, was killed in 1951 by members of the Ku Klux Klan in Seminole County, Florida. A bomb went off under Moore’s bedroom floor, killing her husband and seriously injuring her. Moore died nine days later from the injuries. Moore and her husband were active participants in the early civil rights movement. In 2008, the FBI reopened an investigation into the case, which helped reveal evidence implicating four subjects in the bombing, Earl J. Brooklyn, Tillman H. “Curley” Belvin, Joseph Cox, Edward L. Spivey, all of whom were Klansmen.  ",12/25/51,,1951,1951,Mims,Brevard County,Florida,4164554,4148826,4155751,victim's home,engaging in NAACP activity,,,,TRUE,TRUE,,TRUE,,FALSE,,,,Savannah 44-262||Atlanta 44-439||New York 44-180||Los Angeles 44-123||Miami 44-270||Norfolk 44-34||Mobile 44-175||Washington Field Office 44-140||Dallas 44-306||Birmingham 44-244||Louisville 44-57,144-18-205||144-17M-3164,Edward L. Spivey||Joseph Cox||Tillman H. Belvin||Earl J. Brooklyn
424,Harry T. Moore,,m,African American,,12/25/51,,,,teacher,professional,,20,"Harriette T. Moore, a school teacher, was killed in 1951 by members of the Ku Klux Klan in Seminole County, Florida. A bomb went off under Moore’s bedroom floor, killing her husband and seriously injuring her. Moore died nine days later from the injuries. Moore and her husband were active participants in the early civil rights movement. In 2008, the FBI reopened an investigation into the case, which helped reveal evidence implicating four subjects in the bombing, Earl J. Brooklyn, Tillman H. “Curley” Belvin, Joseph Cox, Edward L. Spivey, all of whom were Klansmen.  ",12/25/51,,1951,1951,Mims,Brevard County,Florida,4164554,4148826,4155751,victim's home,engaging in NAACP activity,,,,TRUE,TRUE,,TRUE,,FALSE,,,,Savannah 44-262||Atlanta 44-439||New York 44-180||Los Angeles 44-123||Miami 44-270||Norfolk 44-34||Mobile 44-175||Washington Field Office 44-140||Dallas 44-306||Birmingham 44-244||Louisville 44-57,144-18-205||144-17M-3164,Edward L. Spivey||Joseph Cox||Tillman H. Belvin||Earl J. Brooklyn
267,Edward Calvin Reeves,Edward G. Reeves||Edward Reeves,m,African American,49,1/17/35,,,,farmer (orange grove),agricultural,,21,"Edward Calvin Reeves (1885 - 1935), a farmer, was killed by John L. Conrad in Brevard County, Florida. Reeves was in a dispute with George Holden, a white sawmill worker, over money for some vegetables. When Reeves allegedly went to strike Holden, Conrad, who also worked at the lumber mill, struck Reeves with a piece of timber, killing him. Conrad was charged with first degree murder and Holden with accomplice to murder. They were supposed to appear before a grand jury but were never tried.  By some accounts, witnesses for the state were intimidated from appearing.",1/17/35,,1935,1935,Merritt Island,Brevard County,Florida,4164092,4148826,4155751,private space - agricultural or industrial,dispute over a debt owed to Reeves,,,,,TRUE,,TRUE,,TRUE,,,,,,George Holden||John L. Conrad
736,Lila Mae Dye,Lida Mae Dye||Lillie Mae Dye,f,African American,27,9/28/47,,,,,,,22,"Lila Mae Dye (1920 - 1947), a housewife, was killed by W.E. Calley, a white man who owned a local grocery store, in Columbia County, Florida. Calley went to Dye’s house to collect a grocery bill and during an argument attacked her and shot her. Calley was charged with first degree murder. Trial jury acquitted.",9/28/47,,1947,1947,Lake City,Columbia County,Florida,4161187,4151595,4155751,victim's home,dispute over a grocery bill; fighting with a white man,,,,,,,TRUE,,,TRUE,FALSE,,,,W. C. Calley
714,Leroy Bradwell,Leroy Bradewell||Leroy Bradswell||T. S. Bradwell||T. S. Bradswello,m,African American,,,,TRUE,World War II,,,,23,"Leroy Bradwell, about 26, a WWII veteran, went missing in 1946 after being arrested at his home by Sheriff Otha Edwards and Deputy Maple in Gadsden County, Florida. Bradwell was arrested without warrant allegedly for writing an obscene letter to a white girl. An FBI investigation later revealed that the letter was written by another man named R. T. Parker, who sought to pin the letter on Bradwell. ",1/7/46,,1946,1946,Midway,Gadsden County,Florida,4164343,4156394,4155751,,writing a letter to a white girl,TRUE,,,,,,,,,,,,144-HQ-1362||Miami 44-56,144-18-42,Otha Edwards||Emory Naples
539,James Fuller,,m,African American,36,2/2/46,,,,farm laborer,agricultural,,24,"James Fuller (1908 - 1946), a farm laborer, was killed by three deputy sheriffs at a juke joint in Volusia County, Florida. The officers shot Fuller while they were raiding the juke joint, claiming Fuller was attempting to flee and that he had a gun, which eyewitnesses disputed. ",2/2/46,,1946,1946,Pierson,Volusia County,Florida,4168371,4176559,4155751,private space - commercial,being armed,TRUE,,,,TRUE,TRUE,,,,,,,,,
717,Leroy Lee Hepburn,Leroy Hepburn,m,African American,,,,TRUE,,,,,25,"Leroy Lee Hepburn, a veteran, was possibly lynched in Monroe County, Florida. A flyer sent by the NAACP in February 1948 to the Grand United Order of Odd Fellows stated that Hepburn was lynched by Joe Ke– (document was cut out at the last name) and Jose Espinoza, a candidate for constable. The flier urged the organization members and their friends not to vote for Espinoza. ",,before 1948-02-17,,1948,Key West,Monroe County,Florida,4160812,4164762,4155751,,,,,,,,,,,,,,,,,Jose Espinoza||Joe K. Espinoza
656,John Watkin White,John White,m,African American,35,3/6/52,,TRUE,World War II,oiler at Naval Air Base (civilian employee) ,public sector,,27,"John Watkin White (1916 - 1952), a Naval Air Base oiler and WWII veteran, was killed by unknown policemen of the Jacksonville Police Department in Duval County, Florida. The police were responding to a reported disturbance in White’s neighborhood. After talking with White, they started beating him. He died later at a hospital. A medical report indicated that White died of a skull fracture after falling off the operating table.",3/5/52,,1952,1952,Jacksonville,Duval County,Florida,4160021,4153840,4155751,public space - urban,,TRUE,,,,TRUE,TRUE,,,,,,,Chicago 44-149,144-18-218,
992,Stafford Gamalious Dames Jr.,Stafford Dames Jr.||Stafford Gamalius Dames Jr.,m,African American,19,7/28/37,,,,printers apprentice,industrial / resource extraction,,28,"Stafford Gamalious Dames, Jr., age 19, a printer's apprentice, was killed in 1937 by police officers R.B. Simpson, W.S. Scott, and Fred Bratt in Miami, Florida. The officers claimed that Dames had broken into a church (one he attended) and fired at them, causing them to fire at him. Witnesses testified that the officers had misidentified Dames and shot him as he was walking home. Grand jury declined to indict.  Dames’ father, a native of the Bahamas,  pursued justice for many years after his son’s death. An essay on this case, researched and authored by a CRRJ student, is available on request.",7/27/37,,1937,1937,Miami,Miami-Dade County,Florida,4164138,4164238,4155751,public space - urban,burglarizing a church in a case of mistaken identity,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,R. B. Simpson||Fred Bratt||W. S. Scott
146,Charlie Smoke,Charles Smoke||Charlie Smoak,m,African American,18,8/28/31,,,,turpentine worker,industrial / resource extraction,,29,"Charles Smoke (Smoak), 18, was killed when a group of men pulled him and his brother, Richard, from their car and fatally shot them in the presence of their father.  Charles and his brother, Richard, were turpentine workers and were being transported from one camp to another.

Richard Smoke (Smoak), 18, was killed when a group of men pulled him and his brother, Richard, from their car and fatally shot them in the presence of their father.  Richard and his brother, Charles, were turpentine workers and were being transported from one camp to another.
",8/28/31,,1931,1931,Blountstown,Calhoun County,Florida,4148237,4149608,4155751,public space - rural,attacking a white forest ranger; fighting with a supervisor at a turpentine camp,,,,,TRUE,TRUE,,,,,,,,,
893,Richard Smoke,Richard Smoak,m,African American,28,8/28/31,,,,turpentine worker,industrial / resource extraction,,29,"Charles Smoke (Smoak), 18, was killed when a group of men pulled him and his brother, Richard, from their car and fatally shot them in the presence of their father.  Charles and his brother, Richard, were turpentine workers and were being transported from one camp to another.

Richard Smoke (Smoak), 18, was killed when a group of men pulled him and his brother, Richard, from their car and fatally shot them in the presence of their father.  Richard and his brother, Charles, were turpentine workers and were being transported from one camp to another.
",8/28/31,,1931,1931,Blountstown,Calhoun County,Florida,4148237,4149608,4155751,public space - rural,attacking a white forest ranger; fighting with a supervisor at a turpentine camp,,,,,TRUE,TRUE,,,,,,,,,
344,Fred Baldwin,James Sullivan||Geamus Couch||Fred Baldwin,m,African American,,8/23/52,,,,,,,30,"Fred Baldwin, a/k/a James L. Couch, a/k/a James Sullivan, age 37, was killed in 1952 by police officers in Chipley, Washington County, Florida. The circumstances are unclear. Baldwin was accused of either rape or burglary or both and was being pursued by a posse of law enforcement officers when he was gunned down.  ",8/23/52,,1952,1952,Chipley,Washington County,Florida,4150769,4177485,4155751,unknown - rural,committing rape,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,144-17-51,Howard Roach||James L. Couch
456,Henry Woods,Henry Wood,m,African American,38,6/6/32,,,,,,,31,"Henry Woods, age 38, was killed in 1932 by a posse of whites in Hamilton County, Florida. Woods was accused of murdering police officer Ira E. Fowler. His body was found burned, mutilated, and riddled with bullets.",6/6/32,,1932,1932,Jasper,Hamilton County,Florida,4160102,4157924,4155751,unknown - rural,committing robbery; murdering a police officer,TRUE,TRUE,TRUE,,,,,,,,,,,,J. H. Hunter
358,Gene Warkman,Eugene Warkman||Eugene Workman||Gene Workman,m,African American,,,,,,,,,32,"Gene Warkman was killed in 1939 by Deputy Sheriff Charles Stinson in Leesburg, Lake City, Florida. Stinson was heard saying he was going to kill a ""goddamn n*****."" He then went to the home of Warkman, who was both deaf and mute, and fatally shot him.",,,1939,1939,Leesburg,Lake County,Florida,4161771,4161204,4155751,victim's home,,TRUE,,,,TRUE,TRUE,,,,TRUE,FALSE,,,,Charlie Stinson
368,George Floyd,,m,African American,54,10/20/45,,,,laborer,laborer,,33,"George Floyd (1891-1945), a laborer, was killed in the county jail of St. Augustine, St. Johns County, Florida. Floyd had been arrested by Officer Pacetti for drunkenness. Death certificate reads, “Immediate cause of death resisting officers of the law due to being hit with blackjack.”",10/20/45,,1945,1945,Saint Augustine,Saint Johns County,Florida,4170894,4171153,4155751,carceral location,assaulting a police officer,TRUE,,,,TRUE,TRUE,,,,,,,,,[given name unknown] Pacetti
103,Buckie Young,Bukey Young,m,African American,,9/11/36,,,,,service,,34,"Buckie Young, a yardman and handyman, was killed in 1936 by a white “posse” in Greenville, Madison County, Florida. Young was shot to death after being accused of attacking a white woman.",9/11/36,,1936,1936,Greenville,Madison County,Florida,4157505,4163142,4155751,unknown - urban,attacking a white woman,TRUE,TRUE,,,FALSE,,,,,,,,,,
304,Ernest Thomas,,m,African American,,7/26/49,,TRUE,,,,,35,"Ernest Thomas, a veteran, was killed in 1949 by a “posse” of police officers in Perry, Taylor County, Florida. Thomas was hunted down and shot to death as one of four Black men accused of raping a young woman, and beating and robbing her husband. The alleged rape incident set off a reign of white mob violence against Black neighborhoods and businesses. Hundreds of Blacks were displaced.",7/26/49,,1949,1949,Madison,Madison County,Florida,4163140,4163142,4155751,unknown - rural,committing rape,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,,,Mobile 44-457||Bureau 44-2722||Bureau 44-4055||Mobile 44-71||Savannah 44-526||Miami 44-156||Miami 44-267||Miami 44-127||Boston 44-54||New York 44-127||St. Louis 44-107,144-18-68||144-18-117,Bill Towles||Willis McCall
473,Hosea W. Allen,,m,African American,,9/26/48,,,,,,,36,"Hosea W. Allen was killed in 1948 by Victor Pinella in Tampa, Hillsborough County, Florida. According to the Chicago Defender, Pinella was the white owner of a beer parlor who fatally shot Allen when Allen ordered a bottle of beer. First degree murder charges were dismissed by Justice of the Peace Spicola.",9/26/48,,1948,1948,Tampa,Hillsborough County,Florida,4174757,4158712,4155751,private space - commercial,demanding a bottle of beer,,,,,,,,,TRUE,FALSE,,,,,Victor Pinella
609,Joe Griffin,,m,likely African American,,,,,,,,,37,"Joe Griffin, died in 1940 in Wewahitchka, Gulf County, Florida. Griffin had been jailed for writing to a white woman. He was released to be taken to a safer place. Days later, a body believed to be his was found in a ditch.",,May-40,1940,1940,Wewahitchka,Gulf County,Florida,4178074,4157652,4155751,,writing to a white girl,,,,,,,,,,,,,,,
794,Miles Smith Sr.,,m,African American,52,11/13/48,,TRUE,World War I,laborer,laborer,,38,"Miles Smith was killed in 1948 by Constable Albert Oliver Sistrunk in Greenville, Madison County, Florida. Sistrunk and his brother Sam were cruising through the Black neighborhood in Greenville one night when they saw Smith drunk and staggering in the road. Sistrunk claimed that Smith was wielding a knife and that he shot in self-defense. Others disputed the presence of a knife. Trial jury acquitted. Weeks later, Sistrunk was accused of killing another Black man named Simon Johnson.",11/13/48,,1948,1948,Greenville,Madison County,Florida,4157505,4163142,4155751,public space - urban,exhibiting public drunkenness; attacking a police officer with a knife,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,FALSE,,Miami 44-113,144-18-87,John Samuel Sistrunk||Albert Oliver Sistrunk
302,Ernest Ponder,Ernest Poindexter||Ernest Powders,m,African American,,7/20/37,,,,,,,39,"Ernest Ponder, between 14 and 18 years old, was killed in 1937 by a group of men in or near Tallahassee, Leon County, Florida. Ponder and Richard Hawkins, age 16, were arrested and jailed for allegedly breaking into a store and stabbing the investigating officer V.F. Kelley. Police officer Harry Fairbanks allowed a group of men to kidnap the boys. Their bodies were later found on a highway riddled with bullets. An essay on this case, researched and authored by a CRRJ student, is available on request.

Richard Hawkins, age 16, was killed in 1937 by a group of men in or near Tallahassee, Leon County, Florida. Hawkins and Ernest Ponder, between 14 and 18 years old, were arrested and jailed for allegedly breaking into a store and stabbing the investigating officer V.F. Kelley. Police officer Harry Fairbanks allowed a group of men to kidnap the boys. Their bodies were later found on a highway riddled with bullets. An essay on this case, researched and authored by a CRRJ student, is available on request.",7/20/37,,1937,1937,Tallahassee,Leon County,Florida,4174715,4161831,4155751,public space - urban,assaulting a police officer; breaking and entering,,,,,TRUE,TRUE,,,,,,,,,
886,Richard Hawkins,,m,African American,16,7/20/37,,,,,,,39,"Ernest Ponder, between 14 and 18 years old, was killed in 1937 by a group of men in or near Tallahassee, Leon County, Florida. Ponder and Richard Hawkins, age 16, were arrested and jailed for allegedly breaking into a store and stabbing the investigating officer V.F. Kelley. Police officer Harry Fairbanks allowed a group of men to kidnap the boys. Their bodies were later found on a highway riddled with bullets. An essay on this case, researched and authored by a CRRJ student, is available on request.

Richard Hawkins, age 16, was killed in 1937 by a group of men in or near Tallahassee, Leon County, Florida. Hawkins and Ernest Ponder, between 14 and 18 years old, were arrested and jailed for allegedly breaking into a store and stabbing the investigating officer V.F. Kelley. Police officer Harry Fairbanks allowed a group of men to kidnap the boys. Their bodies were later found on a highway riddled with bullets. An essay on this case, researched and authored by a CRRJ student, is available on request.",7/20/37,,1937,1937,Tallahassee,Leon County,Florida,4174715,4161831,4155751,public space - urban,assaulting a police officer; breaking and entering,,,,,TRUE,TRUE,,,,,,,,,
911,Robert Johnson,,m,African American,,1/30/34,,,,,,,40,"Robert Johnson was lynched in 1934 in Tampa, Hillsborough County, Florida. Johnson was in the custody of deputy constable T.M. Graves on a charge of petty larceny or attempted rape or both and was being transported from the city jail to the county jail when lynchers shot him to death. ",1/30/34,,1934,1934,Tampa,Hillsborough County,Florida,4174757,4158712,4155751,public space - urban,attacking a white woman; stealing a chicken,TRUE,,TRUE,,TRUE,TRUE,TRUE,FALSE,,,,,,,T. M. Graves
981,Simon Johnson,,m,African American,40,12/3/48,,,,ran a juke joint ,professional,,41,"Simon Johnson, who ran a juke joint, was killed in 1948 by constable Albert Oliver Sistrunk in Greenville, Madison County, Florida. Sistrunk and his brother Sam had arrested Johnson on unclear grounds and shot him in the jailhouse yard. Sistrunk was tried for Johnson’s murder and also for the murder of Miles Smith. Trial jury acquitted.",12/3/48,,1948,1948,Greenville,Madison County,Florida,4157505,4163142,4155751,carceral location,attacking a police officer with a knife; refusing to pay off the police for the privilege of selling liquor at a jook joint,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,FALSE,,Miami 44-113||Mobile 44-58||Bureau 44-2362||Miami 44-130,144-18-87,Albert Oliver Sistrunk||Hinley Howard Tuten
513,Jack Johnson,,m,African American,,10/28/33,,,,,,,42,"Jessie Strawman, under age 22, domestic laborer, was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. She was killed with Jack Johnson, Leslie Mae Johnson, and Therese Morgan. Strawman had been strangled, as were the other two women. Jack Johnson had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.

Leslie Mae Johnson (1913-1933), a housekeeper, was killed by unknown person(s) in Arcadia, DeSoto County, Florida. She was killed with her brother Jack Johnson and with Jessie Strawman and Therese Morgan. Johnson had been strangled, as were the other two women. Jack had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.

Jack Johnson was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. Jackson was killed with his sister Leslie Mae Johnson, Jessie Strawman, and Therese Morgan. The three women were apparently under the age of 22. Johnson had been bludgeoned to death; the women had been strangled. All had been shot in the back of the head. The bodies were found off a main highway.

Therese Morgan, under age 22, was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. She was killed with Jack Johnson, Leslie Mae Johnson, and Jessie Strawman. Morgan had been strangled, as were the other two women. Jack Johnson had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.",10/28/33,,1933,1933,Arcadia,DeSoto County,Florida,4146206,4152927,4155751,public space - rural,winning too much at gambling; witnessing the killing of Jack Johnson,TRUE,,,,TRUE,,,,,,,,,,Hosea Ricks||Tilly Mansfield
598,Jessie Strawman,Jack Johnson||Jessie Stromer Jackson,f,African American,,10/28/33,,,,domestic laborer,service,,42,"Jessie Strawman, under age 22, domestic laborer, was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. She was killed with Jack Johnson, Leslie Mae Johnson, and Therese Morgan. Strawman had been strangled, as were the other two women. Jack Johnson had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.

Leslie Mae Johnson (1913-1933), a housekeeper, was killed by unknown person(s) in Arcadia, DeSoto County, Florida. She was killed with her brother Jack Johnson and with Jessie Strawman and Therese Morgan. Johnson had been strangled, as were the other two women. Jack had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.

Jack Johnson was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. Jackson was killed with his sister Leslie Mae Johnson, Jessie Strawman, and Therese Morgan. The three women were apparently under the age of 22. Johnson had been bludgeoned to death; the women had been strangled. All had been shot in the back of the head. The bodies were found off a main highway.

Therese Morgan, under age 22, was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. She was killed with Jack Johnson, Leslie Mae Johnson, and Jessie Strawman. Morgan had been strangled, as were the other two women. Jack Johnson had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.",10/28/33,,1933,1933,Arcadia,DeSoto County,Florida,4146206,4152927,4155751,public space - rural,winning too much at gambling; witnessing the killing of Jack Johnson,TRUE,,,,TRUE,,,,,,,,,,Hosea Ricks||Tilly Mansfield
723,Lessie Mae Johnson,Lessie May Johnson,f,African American,20,10/28/33,,,,domestic laborer,service,,42,"Jessie Strawman, under age 22, domestic laborer, was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. She was killed with Jack Johnson, Leslie Mae Johnson, and Therese Morgan. Strawman had been strangled, as were the other two women. Jack Johnson had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.

Leslie Mae Johnson (1913-1933), a housekeeper, was killed by unknown person(s) in Arcadia, DeSoto County, Florida. She was killed with her brother Jack Johnson and with Jessie Strawman and Therese Morgan. Johnson had been strangled, as were the other two women. Jack had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.

Jack Johnson was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. Jackson was killed with his sister Leslie Mae Johnson, Jessie Strawman, and Therese Morgan. The three women were apparently under the age of 22. Johnson had been bludgeoned to death; the women had been strangled. All had been shot in the back of the head. The bodies were found off a main highway.

Therese Morgan, under age 22, was killed by unknown person(s) in 1933 in Arcadia, DeSoto County, Florida. She was killed with Jack Johnson, Leslie Mae Johnson, and Jessie Strawman. Morgan had been strangled, as were the other two women. Jack Johnson had been bludgeoned to death. All had been shot in the back of the head. The bodies were found off a main highway.",10/28/33,,1933,1933,Arcadia,DeSoto County,Florida,4146206,4152927,4155751,public space - rural,winning too much at gambling; witnessing the killing of Jack Johnson,TRUE,,,,TRUE,,,,,,,,,,Hosea Ricks||Tilly Mansfield
